text,label
"['INTRADAY', 'UPDATE', 'DANGEE', 'GIVEN', 'ABOVE', '368', 'TOUCHED', 'FIRST', 'TARGET', '372', 'MADE', 'HIGH', 'OF', '374', '90']","['NANA', 'NANA', 'symbol', 'NANA', 'NANA', 'enter', 'NANA', 'NANA', 'NANA', 'exit', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA']"
"['DANGEE', 'GIVEN', 'AT', '368', 'ALSO', 'TOUCHED', 'SECOND', 'TARGET', '376', 'HIGH', '379']","['symbol', 'NANA', 'NANA', 'enter', 'NANA', 'NANA', 'NANA', 'NANA', 'exit', 'NANA', 'NANA']"
"['BTST', 'CGPOWER', 'CMP', '169']","['NANA', 'symbol', 'NANA', 'enter']"
"['INTRADAY', 'BUY', 'SUNTV', 'ABOVE', '450', 'SL', '445', 'TARGET', '456', '462']","['NANA', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'sl', 'NANA', 'exit', 'NANA']"
"['FRIENDS', 'EYES', 'ON', 'MANINFRA', 'ABOVE', '77', 'CAN', 'GIVE', 'A', 'ROCKING', 'UPMOVE']","['NANA', 'NANA', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA']"
"[""DON'T"", 'MISS', 'INTRADAY', 'BUY', 'MANINFRA', 'ABOVE', '77', 'SL', '75', '50', 'TARGET', '80', '83']","['NANA', 'NANA', 'NANA', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'NANA', 'NANA', 'NANA', 'exit', 'NANA']"
"['MANINFRA', 'ABOVE', '77', 'CAN', 'MOVE', 'UP', 'NONSTOP', 'UPTO', '83', 'LEVELS']","['symbol', 'NANA', 'enter', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'exit', 'NANA']"
"['EYES', 'ON', 'SUNTV']","['NANA', 'NANA', 'symbol']"
"['FRIENDS', 'EYES', 'ON', 'PDMJEPAPER']","['NANA', 'NANA', 'NANA', 'symbol']"
"['INTRADAY', 'BUY', 'PDMJEPAPER', 'CMP', '33', '40', 'SL', '32', '25', 'TARGET', '36', '37', '50']","['NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'exit', 'NANA', 'NANA']"
"['PDMJEPAPER', 'COMING', 'OUT', 'FROM', 'OVERSOLD', 'CAN', 'GIVE', 'A', 'QUICK', 'JUMP', 'ABOVE', '33', '50']","['symbol', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA']"
"['MANINFRA', 'ABOVE', '77', 'TOUCHED', '78', '50']","['symbol', 'NANA', 'enter', 'NANA', 'NANA', 'NANA']"
"['PDMJEPAPER', 'BTST', 'LOOKS', 'LIKE', '38']","['symbol', 'NANA', 'NANA', 'NANA', 'exit']"
"['BTST', 'BANCOINDIA', 'CMP', '163', '50']","['NANA', 'symbol', 'NANA', 'NANA', 'NANA']"
"['BANCOINDIA', 'LOOKING', 'AWESOME', 'FUNDAMENTALLY']","['symbol', 'NANA', 'NANA', 'NANA']"
"['INTRADAY', 'BUY', 'LYKALABS', 'CMP', '108', 'SL', '106', 'TARGET', '114']","['NANA', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'sl', 'NANA', 'exit']"
"['FRIENDS', 'KEEP', 'AN', 'EYE', 'ON', 'TARC', 'ABOVE', '35', '50', 'CAN', 'GIVE', 'A', 'ROCKING', 'UPMOVE']","['NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'symbol', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA']"
"['INTRADAY', 'BUY', 'TARC', 'ABOVE', '35', '50', 'SL', '34', 'TARGET', '41']","['NANA', 'NANA', 'symbol', 'NANA', 'NANA', 'NANA', 'NANA', 'sl', 'NANA', 'exit']"
"['TARC', 'IS', 'ALSO', 'FOR', 'DELIVERY', 'BASED', 'WITH', 'SL', 'OF', '31', 'TARGETTING', '48', '52']","['symbol', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'sl', 'NANA', 'exit', 'NANA']"
"['TARC', 'ABOVE', '35', '50', 'CAN', 'GIVE', 'A', 'DECENT', 'UPMOVE', 'SO', 'KEEP', 'IT', 'ON', 'UR', 'RADAR']","['symbol', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA']"
"['INTRADAY', 'BUY', 'TATASTEEL', 'ABOVE', '850', 'SUSTAINING', 'SL', '840', 'TARGET', '860', '870']","['NANA', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'NANA', 'NANA', 'NANA', 'exit', 'NANA']"
"['INTRADAY', 'BUY', 'INTENTECH', 'ABOVE', '65', 'SL', '63', '50', 'TARGET', '70', '72']","['NANA', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'NANA', 'NANA', 'NANA', 'exit', 'NANA']"
"['INTRADAY', 'UPDATE', 'INTENTECH', 'GIVEN', 'ABOVE', '65', 'TOUCHED', '69', '25', 'NEARING', 'TARGET', 'OF', '70']","['NANA', 'NANA', 'symbol', 'NANA', 'NANA', 'enter', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA']"
"['INTRADAY', 'BUY', 'GULFPETRO', 'CMP', '44', '20', 'SL', '42', '50', 'TARGET', '47', '50']","['NANA', 'NANA', 'symbol', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'exit', 'NANA']"
"[""DON'T"", 'MISS', 'GULFPETRO', 'ABOVE', '45', 'WILL', 'ZOOM', 'QUICKLY']","['NANA', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'NANA', 'NANA']"
"['INTRADAY', 'BUY', 'KEC', 'CMP', '385', 'SL', '381', 'TARGET', '390']","['NANA', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'sl', 'NANA', 'exit']"
"['INTRADAY', 'UPDATE', 'KEC', 'GIVEN', 'A', 'BUY', 'AT', '385', 'TOUCHED', 'TARGET', '390']","['NANA', 'NANA', 'symbol', 'NANA', 'NANA', 'NANA', 'NANA', 'enter', 'NANA', 'NANA', 'exit']"
"['INTRADAY', 'BUY', 'CEATLTD', 'ABOVE', '946', 'SL', '935', 'TARGET', '960']","['NANA', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'sl', 'NANA', 'exit']"
"['INTRADAY', 'BUY', 'MANINFRA', 'CMP', '80', 'SL', '78', '50', 'TARGET', '85']","['NANA', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'NANA', 'NANA', 'NANA', 'exit']"
"['KEC', 'ROCKING', 'GIVEN', 'A', 'BUY', 'AT', '385', 'TOUCHED', '396']","['symbol', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'enter', 'NANA', 'exit']"
"['FRIENDS', 'KEEP', 'YOUR', 'RADAR', 'ON', 'KCP', 'CMP', '108', 'CAN', 'BLAST', 'MAST', 'FOR', 'BTST']","['NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA']"
"['BTST', 'KCP', 'CMP', '108']","['NANA', 'symbol', 'NANA', 'enter']"
"['KCP', 'ON', 'A', 'FLAG', ""DON'T"", 'MISS']","['symbol', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA']"
"['BTST', 'HCG', 'CMP', '290']","['NANA', 'symbol', 'NANA', 'enter']"
"['INTRADAY', 'BUY', 'KIRLFER', 'ABOVE', '199', 'SL', '197', 'TARGET', '205', '210', '215']","['NANA', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'sl', 'NANA', 'exit', 'NANA', 'NANA']"
"['KIRLFER', 'FUNDAMENTALS', ""DON'T"", 'MISS']","['symbol', 'NANA', 'NANA', 'NANA']"
"['KIRLFER', 'ABOVE', '199', 'WILL', 'GIVE', 'A', 'ROCKING', 'UPMOVE', ""DON'T"", 'MISS']","['symbol', 'NANA', 'enter', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA']"
"['SHORT', 'TERM', 'DELIVERY', 'TARGET', 'IN', 'KIRLFER', 'IS', '265']","['NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'symbol', 'NANA', 'exit']"
"['KIRLFER', 'WATCHOUT', 'IS', 'TRYING', 'TO', 'BREAKOUT', ""DON'T"", 'MISS', 'ABOVE', '199']","['symbol', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'enter']"
"['ABOVE', '199', 'TECHNICALS', 'CONFIRM', 'THE', 'BREAKOUT']","['NANA', 'enter', 'NANA', 'NANA', 'NANA', 'NANA']"
"['KIRLFER', 'INTRADAY', '213', 'POSSIBLE', 'ABOVE', '199']","['symbol', 'NANA', 'exit', 'NANA', 'NANA', 'enter']"
"['FRIENDS', 'EYES', 'ON', 'PRECWIRE', 'ABOVE', '63', '50']","['NANA', 'NANA', 'NANA', 'symbol', 'NANA', 'NANA', 'NANA']"
"['INTRADAY', 'BUY', 'PRECWIRE', 'ABOVE', '63', 'SL', '61', '50', 'TARGET', '65', '50']","['NANA', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA']"
"['PRECWIRE', 'OPEN', 'LOW', 'IS', 'SAME']","['symbol', 'NANA', 'NANA', 'NANA', 'NANA']"
"['PRECWIRE', 'WE', 'MAY', 'SEE', 'UPPER', 'CIRCUIT']","['symbol', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA']"
"[""DON'T"", 'MISS', 'ABOVE', '63']","['NANA', 'NANA', 'NANA', 'enter']"
"['PRECWIRE', 'HAS', 'TAKEN', 'A', 'SUPPORT', 'AROUND', '61', 'LEVELS', 'AND', 'IS', 'MAKING', 'A', 'PATTERN', 'OF', 'BOUNCE', 'BACK']","['symbol', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'enter', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA']"
"['FOR', 'INTRADAY', ""DON'T"", 'MISS', 'ABOVE', '63']","['NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'enter']"
"['BTST', 'SALASAR', 'CMP', '262', '50']","['NANA', 'symbol', 'NANA', 'NANA', 'NANA']"
"['INTRADAY', 'BUY', 'GSCLCEMENT', 'ABOVE', '32', 'SL', '30', '50', 'TARGET', '35', '36']","['NANA', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'NANA', 'NANA', 'NANA', 'exit', 'NANA']"
"['GSCLCEMENT', 'Company', 'has', 'delivered', 'good', 'profit', 'growth', 'of', '21', '32', 'CAGR', 'over', 'last', '5', 'years']","['symbol', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA']"
"['INTRADAY', 'UPDATE', 'GSCLCEMENT', 'GIVEN', 'ABOVE', '32', 'TOUCHED', '34', '50', 'NEARING', 'FIRST', 'TARGET', 'OF', '35']","['NANA', 'NANA', 'symbol', 'NANA', 'NANA', 'enter', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'exit']"
"['FRIENDS', 'EYES', 'ON', 'SUPER', 'DUPER', 'FUNDAMENTAL', 'SCRIP', 'GOLDIAM', 'ABOVE', '141', 'CAN', 'GIVE', 'A', 'ROCKING', 'UPMOVE']","['NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA']"
"['SUPER', 'DUPER', 'FUNDAMENTALLY', 'STRONG', 'DELIVERY', 'BUY', 'GOLDIAM', 'ABOVE', '141', 'SL', '115', 'TARGET', '170']","['NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'sl', 'NANA', 'exit']"
"['GOLDIAM', 'FUNDAMENTALS']","['symbol', 'NANA']"
"['INTRADAY', 'BUY', 'ZUARI', 'ABOVE', '150', 'SL', '148', 'TARGET', '153', '156']","['NANA', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'sl', 'NANA', 'exit', 'NANA']"
"['INTRADAY', 'BUY', 'ITC', 'ABOVE', '271', 'SL', '267', 'TARGET', '275', '280']","['NANA', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'sl', 'NANA', 'exit', 'NANA']"
"['EYES', 'ON', 'IMFA', 'ABOVE', '270', 'CAN', 'GIVE', 'A', 'ROCKING', 'UPMOVE']","['NANA', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA']"
"['INTRADAY', 'BUY', 'IMFA', 'ABOVE', '270', 'SL', '267', 'TARGET', '275', '280']","['NANA', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'sl', 'NANA', 'exit', 'NANA']"
"[""DON'T"", 'MISS', 'IMFA', 'LOOKING', 'SUPERB', 'ON', 'CHARTS', 'AND', 'FUNDAS', 'ALSO']","['NANA', 'NANA', 'symbol', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA']"
"['ABOVE', '270', 'CAN', 'ZOOM', 'QUICKLY']","['NANA', 'enter', 'NANA', 'NANA', 'NANA']"
"['AWESOME', 'DIVIDING', 'GIVING', 'COMPANY', 'AWESOME', 'FUNDAMENTALS', ""DON'T"", 'MISS', 'IMFA']","['NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'symbol']"
"['INTRADAY', 'UPDATE', 'ZUARI', 'GIVEN', 'ABOVE', '150', 'TOUCHED', 'FIRST', 'TARGET', '153', 'HIGH', '153', '90']","['NANA', 'NANA', 'symbol', 'NANA', 'NANA', 'enter', 'NANA', 'NANA', 'NANA', 'exit', 'NANA', 'exit', 'NANA']"
"['INTRADAY', 'UPDATE', 'ZUARI', 'GIVEN', 'ABOVE', '150', 'TOUCHED', 'SECOND', 'TARGET', '156', 'HIGH', '157', '70']","['NANA', 'NANA', 'symbol', 'NANA', 'NANA', 'enter', 'NANA', 'NANA', 'NANA', 'exit', 'NANA', 'NANA', 'NANA']"
"['IMFA', 'RSI', 'BREAKING', 'OUT']","['symbol', 'NANA', 'NANA', 'NANA']"
"['IMFA', 'BUYING', 'HAPPENING', 'WATCHOUT']","['symbol', 'NANA', 'NANA', 'NANA']"
"['IMFA', 'CAN', 'ALSO', 'BE', 'TAKEN', 'FOR', 'DELIVERY', 'FOR', 'MEDIUM', 'TERM', 'TARGET', '475']","['symbol', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'enter']"
"['BTST', 'AMBUJACEM', 'CMP', '365', '50']","['NANA', 'symbol', 'NANA', 'NANA', 'NANA']"
"['INTRADAY', 'BUY', 'ASTRON', 'ABV', '39', 'SL', '37', '50', 'TARGET', '45']","['NANA', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'NANA', 'NANA', 'NANA', 'exit']"
"['FRIENDS', 'EYES', 'ON', 'RUCHIRA']","['NANA', 'NANA', 'NANA', 'symbol']"
"['RUCHIRA', '103', '107']","['symbol', 'enter', 'exit']"
"['RUCHIRA', 'ROCKING', '103', 'TO', '111']","['symbol', 'NANA', 'enter', 'NANA', 'exit']"
"['INTRADAY', 'BUY', 'MAHINDCIE', 'ABOVE', '235', 'SL', '232', 'TARGET', '238', '241']","['NANA', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'sl', 'NANA', 'exit', 'NANA']"
"['INTRADAY', 'UPDATE', 'MAHINDCIE', 'GIVEN', 'ABOVE', '235', 'TOUCHED', '237', '50']","['NANA', 'NANA', 'symbol', 'NANA', 'NANA', 'enter', 'NANA', 'NANA', 'NANA']"
"['INTRADAY', 'UPDATE', 'MAHINDCIE', 'GIVEN', 'ABOVE', '235', 'TOUCHED', 'FIRST', 'TARGET', '238', 'AND', 'MADE', 'HIGH', '239', '70']","['NANA', 'NANA', 'symbol', 'NANA', 'NANA', 'enter', 'NANA', 'NANA', 'NANA', 'exit', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA']"
"['FRIENDS', 'EYES', 'ON', 'CHALET']","['NANA', 'NANA', 'NANA', 'symbol']"
"['ABV', '313', 'CAN', 'ROCK']","['NANA', 'enter', 'NANA', 'NANA']"
"[""DON'T"", 'MISS', 'INTRADAY', 'BUY', 'CHALET', 'ABOVE', '313', 'SL', '309', 'TARGET', '318', '324']","['NANA', 'NANA', 'NANA', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'sl', 'NANA', 'exit', 'NANA']"
"['INTRADAY', 'UPDATE', 'MAHINDCIE', 'GIVEN', 'ABOVE', '235', 'TOUCHED', 'SECOND', 'TARGET', '241', 'HIGH', '242', '70']","['NANA', 'NANA', 'symbol', 'NANA', 'NANA', 'enter', 'NANA', 'NANA', 'NANA', 'exit', 'NANA', 'NANA', 'NANA']"
"['FRIENDS', 'EYES', 'ON', 'BHAGYANGR', 'FOR', 'BTST']","['NANA', 'NANA', 'NANA', 'symbol', 'NANA', 'NANA']"
"['BINDAAAST', 'BTST', 'BUY', 'BYAGYANGR', 'CMP', '40']","['NANA', 'NANA', 'NANA', 'symbol', 'NANA', 'enter']"
"['CORRECTION', 'SCRIP', 'NAME', 'BHAGYANGR']","['NANA', 'NANA', 'NANA', 'symbol']"
"['BHAGYANGR', 'TODAYS', 'VOLUMES', 'ARE', 'ABOVE', 'AVERAGE', 'VOLUMES', 'LOOKS', 'SUPERB', 'FOR', 'BTST']","['symbol', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA']"
"['BTST', 'MAHSEAMLES', 'CMP', '645']","['NANA', 'symbol', 'NANA', 'enter']"
"['MAHSEAMLESS', 'GOING', 'UP', '645', 'TO', '654', 'TODAY', 'ITSELF']","['symbol', 'NANA', 'NANA', 'enter', 'NANA', 'exit', 'NANA', 'NANA']"
"['INTRADAY', 'BUY', 'ASIANTILES', 'ABOVE', '44', 'SL', '42', '50', 'TARGET', '47']","['NANA', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'NANA', 'NANA', 'NANA', 'exit']"
"['ASIANTILES', ""DON'T"", 'MISS', 'ABOVE', '44', 'SEEDHA', '47', 'FOR', 'INTRADAY']","['NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'symbol', 'enter', 'NANA', 'NANA']"
"['FRIENDS', 'EYES', 'ON', 'MENONBE']","['NANA', 'NANA', 'NANA', 'symbol']"
"['LOOKS', 'SUPERB', 'ABOVE', '76']","['NANA', 'NANA', 'NANA', 'enter']"
"['SHORT', 'TERM', 'DELIVERY', 'BUY', 'MENONBE', 'CMP', '75', '50', 'SL', '67', 'TARGET', '100', 'MOMENTUM', 'ABOVE', '76']","['NANA', 'NANA', 'NANA', 'NANA', 'symbol', 'NANA', 'NANA', 'NANA', 'NANA', 'sl', 'NANA', 'exit', 'NANA', 'NANA', 'NANA']"
"['INTRADAY', 'UPDATE', 'ASIANTILES', ""DIDN'T"", 'GO', 'ABOVE', 'GIVEN', 'LEVEL', 'OF', '44', 'HENCE', 'CALL', 'STANDS', 'CANCELLED']","['NANA', 'NANA', 'symbol', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'enter', 'NANA', 'NANA', 'NANA', 'NANA']"
"['FRIENDS', 'KEEP', 'BGRENERGY', 'ON', 'RADAR']","['NANA', 'NANA', 'symbol', 'NANA', 'NANA']"
"['INTRADAY', 'BUY', 'CEREBRAINT', 'CMP', '52', 'SL', '50', '50', 'TARGET', '57', '59']","['NANA', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'NANA', 'NANA', 'NANA', 'exit', 'NANA']"
"['INTRADAY', 'BUY', 'TATASTEEL', 'SUSTAINING', 'ABOVE', '884', 'SL', '875', 'TARGET', '895', '905']","['NANA', 'NANA', 'symbol', 'NANA', 'NANA', 'enter', 'NANA', 'sl', 'NANA', 'exit', 'NANA']"
"['BTST', 'SIEMENS', 'CMP', '2405']","['NANA', 'symbol', 'NANA', 'enter']"
"['INTRADAY', 'BUY', 'SHOPERSTOP', 'ABOVE', '502', 'SL', '495', 'TARGET', '510']","['NANA', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'sl', 'NANA', 'exit']"
"['ABOVE', '510', 'WE', 'MAY', 'SEE', 'FIREWORKS', 'UPTO', '534']","['NANA', 'enter', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'exit']"
"['INTRADAY', 'BUY', 'LUMAXTECH', 'ABOVE', '186', 'SL', '183', 'TARGET', '190']","['NANA', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'sl', 'NANA', 'exit']"
"['NIFTY', 'SPOT', 'BELOW', '15785', 'TOUCHED', '15736', 'LEVELS', 'ALERTED', 'AT', '15795', 'LEVELS']","['NANA', 'NANA', 'NANA', 'enter', 'NANA', 'exit', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA']"
"['INTRADAY', 'BUY', 'BAJAJELEC', 'ABOVE', '1005', 'SL', '990', 'TARGET', '1025', '1045']","['NANA', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'sl', 'NANA', 'exit', 'NANA']"
"['FRIENDS', 'JAGRAN', 'LOOKS', 'GOOD', 'FOR', 'BTST', 'AWESOME']","['NANA', 'symbol', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA']"
"['BTST', 'JAGRAN', 'CMP', '50']","['NANA', 'symbol', 'NANA', 'enter']"
"['JAGRAN', 'CAN', 'TARGET', '65', '70', 'IN', 'EXTREME', 'SHORT', 'TERM']","['symbol', 'NANA', 'NANA', 'exit', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA']"
"['BAJAJELEC', 'GIVEN', 'ABOVE', '1005', 'TOUCHED', '1015']","['symbol', 'NANA', 'NANA', 'enter', 'NANA', 'exit']"
"['INTRADAY', 'UPDATE', 'BAJAJELEC', 'GIVEN', 'A', 'BUY', 'ABV', '1005', 'TOUCHED', 'TARGET', 'OF', '1025', 'HIGH', '1032']","['NANA', 'NANA', 'symbol', 'NANA', 'NANA', 'NANA', 'NANA', 'enter', 'NANA', 'NANA', 'NANA', 'exit', 'NANA', 'NANA']"
"['INTRADAY', 'UPDATE', 'BAJAJELEC', 'GIVEN', 'A', 'BUY', 'ABOVE', '1005', 'TOUCHED', 'SECOND', 'TARGET', '1045', 'HIGH', '1046']","['NANA', 'NANA', 'symbol', 'NANA', 'NANA', 'NANA', 'NANA', 'enter', 'NANA', 'NANA', 'NANA', 'exit', 'NANA', 'NANA']"
"['INTRADAY', 'BUY', 'SUNTECK', 'CMP', '511', 'SL', '505', 'TARGET', '520']","['NANA', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'sl', 'NANA', 'exit']"
"['BTST', 'FCL', 'AROUND', '188', '190']","['NANA', 'symbol', 'NANA', 'enter', 'NANA']"
"['INTRADAY', 'BUY', 'TTL', 'ABOVE', '72', 'SL', '70', '50', 'TARGET', '76', '80']","['NANA', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'NANA', 'NANA', 'NANA', 'exit', 'NANA']"
"['72', 'IS', 'THE', 'CRUCIAL', 'LEVEL', 'WATCHOUT']","['enter', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA']"
"['FRIENDS', 'EYES', 'ON', 'BEPL', 'GOOD', 'FOR', 'DELIVERY']","['NANA', 'NANA', 'NANA', 'symbol', 'NANA', 'NANA', 'NANA']"
"['DELIVERY', 'BUY', 'BEPL', 'CMP', '111', '70', 'SL', '95', 'TARGET', '130', '145', '160']","['NANA', 'NANA', 'symbol', 'NANA', 'NANA', 'NANA', 'NANA', 'sl', 'NANA', 'exit', 'NANA', 'NANA']"
"['BEPL', 'SUPER', 'FUNDAMENTALS', ""DONT'"", 'MISS', 'FOR', 'DELIVERY']","['symbol', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA']"
"['INTRADAY', 'BUY', 'MANGCHEFER', 'ABOVE', '116', 'SL', '113', 'TARGET', '120', '125']","['NANA', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'sl', 'NANA', 'exit', 'NANA']"
"['KKCL', 'ABOVE', '256', 'SUSTAINING', 'CAN', 'GIVE', 'A', 'NICE', 'UPMOVE']","['symbol', 'NANA', 'enter', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA']"
"['KKCL', '256', '263']","['symbol', 'enter', 'exit']"
"['MANGCHEFER', 'AND', 'TTL', 'BOTH', ""DIDN'T"", 'GO', 'ABOVE', 'GIVEN', 'LEVELS', 'HENCE', 'BOTH', 'CALLS', 'STANDS', 'CANCELLED']","['NANA', 'NANA', 'symbol', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA']"
"['FRIENDS', 'EYES', 'ON', 'VARDHACRLC']","['NANA', 'NANA', 'NANA', 'symbol']"
"['INTRADAY', 'BUY', 'VARDHACRLC', 'ABOVE', '51', 'SL', '49', '50', 'TARGET', '55', '57']","['NANA', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'NANA', 'NANA', 'NANA', 'exit', 'NANA']"
"['VARDHACRLC', ""DON'T"", 'MISS', 'ABOVE', '51']","['symbol', 'NANA', 'NANA', 'NANA', 'enter']"
