time,message,prediction,isPredAccurate
2022-09-08 05:42:30,"DOUBLE PATTERNS

INVERTED H&s PATTERN

AND FLAG PATTERN ALSO

SUPER DUPER DELIVERY BUY ","['' 'DOUBLE' 'PATTERNS' 'INVERTED' 'H' '&' 's' 'PATTERN' 'AND' 'FLAG'
 'PATTERN' 'ALSO' 'SUPER' 'DUPER' 'DELIVERY' 'BUY']",False
2022-09-08 05:29:10,"CONFIRMATION IS 110 

ABOVE THAT.. HUGE UPMOVE POSSIBLE.. DON'T MISS ","['' 'CONFIRMATION' 'IS' '110' 'ABOVE' 'THAT..HUGE' 'UPMOVE'
 'POSSIBLE..DON' ""'"" 'T' 'MISS']",True
2022-09-08 05:27:37,"SUPER DUPER BREAKOUT ABOVE 110 

DON'T MISS

122+ COMING ","['' 'SUPER' 'DUPER' 'BREAKOUT' 'ABOVE' '110' 'DON' ""'"" 'T' 'MISS' '122'
 '+' 'COMING']",True
2022-09-08 05:26:25,"INTRADAY

BUY TRIGYN ABOVE 110 SL 108 TARGET 116 - 122+ ","['' 'INTRADAY' 'BUY' 'TRIGYN' 'ABOVE' '110' 'SL' '108' 'TARGET' '116' '-'
 '122' '+']",True
2022-09-08 02:00:20, ,[''],True
2022-09-07 09:45:30,BTST : HISARMETAL CMP 146 ,['' 'BTST' ':' 'HISARMETAL' 'CMP' '146'],True
2022-09-07 09:24:22,BTST : FSL CMP 114 ,['' 'BTST' ':' 'FSL' 'CMP' '114'],True
2022-09-07 09:02:13,BTST : GSS CMP 229.80 - 230 ,['' 'BTST' ':' 'GSS' 'CMP' '229.80' '-' '230'],True
2022-09-07 09:00:46,GSS : SUPER CANDIDATE FOR A SOLID UPMOVE... BTST BEST CANDIDATE ,"['' 'GSS' ':' 'SUPER' 'CANDIDATE' 'FOR' 'A' 'SOLID' 'UPMOVE...' 'BTST'
 'BEST' 'CANDIDATE']",True
2022-09-07 08:59:43,"FRIENDS...

GSS

LOOKS GOOD FOR BTST ",['' 'FRIENDS...' 'GSS' 'LOOKS' 'GOOD' 'FOR' 'BTST'],True
2022-09-07 08:37:22,INTRADAY : BUY GRANULES CMP 313 SL 309 TARGET 317 - 321 ,"['' 'INTRADAY' ':' 'BUY' 'GRANULES' 'CMP' '313' 'SL' '309' 'TARGET' '317'
 '-' '321']",True
2022-09-07 08:22:24,"AN UPMOVE ABOVE 152 CAN TARGET 20+ RS UPMOVE ON DELIVERY BASED IN

CONSOFINVT...

FLAG BREAKOUT ","['' 'AN' 'UPMOVE' 'ABOVE' '152' 'CAN' 'TARGET' '20' '+' 'RS' 'UPMOVE' 'ON'
 'DELIVERY' 'BASED' 'IN' 'CONSOFINVT' '...FLAG' 'BREAKOUT']",True
2022-09-07 08:20:03,"CONSOFINVT : ANOTHER FLAG BREAKOUT

A MOVE ABOVE 151 CAN GIVE A QUICK UPMOVE ","['' 'CONSOFINVT' ':' 'ANOTHER' 'FLAG' 'BREAKOUT' 'A' 'MOVE' 'ABOVE' '151'
 'CAN' 'GIVE' 'A' 'QUICK' 'UPMOVE']",True
2022-09-07 08:15:49,"WATCHOUT.. MAANALU... STARTED MOVING UP..... 

FLAGS ARE VERY POWERFUL ","['' 'WATCHOUT..' 'MAANALU' '...STARTED' 'MOVING' 'UP.....FLAGS' 'ARE'
 'VERY' 'POWERFUL']",True
2022-09-07 08:08:09,"FRIENDS...

FLAG BREAKOUT

BUY OMINFRAL CMP 38.45 SL 37 TARGET 44 ","['' 'FRIENDS...FLAG' 'BREAKOUT' 'BUY' 'OMINFRAL' 'CMP' '38.45' 'SL' '37'
 'TARGET' '44']",True
2022-09-07 07:59:33,"TREJHARA... 71 TO 78+
BLISSGVS .. 82 TO 85+ ",['' 'TREJHARA' '...' '71' 'TO' '78' '+' 'BLISSGVS' '..' '82' 'TO' '85' '+'],True
2022-09-07 07:50:49,"TREJHARA.. ROCKING.. GIVEN ABOVE 71 ... GOING STRONG AT 75.90

KEEP ON BOOKING / TRAILING ACCORDINGLY ","['' 'TREJHARA' '..ROCKING..GIVEN' 'ABOVE' '71' '...GOING' 'STRONG' 'AT'
 '75.90' 'KEEP' 'ON' 'BOOKING' '/' 'TRAILING' 'ACCORDINGLY']",False
2022-09-07 07:42:28,TREJHARA.. DID 71 TO 75 ,['' 'TREJHARA' '..DID' '71' 'TO' '75'],False
2022-09-07 07:29:03,FLAG PATTERN PRESENT IN MAANALU ,['' 'FLAG' 'PATTERN' 'PRESENT' 'IN' 'MAANALU'],True
2022-09-07 07:27:35,DON'T MISS MAANALU... ,"['' 'DON' ""'"" 'T' 'MISS' 'MAANALU' '...']",True
2022-09-07 07:25:59,OPEN-LOW AND PREVIOUS CLOSE ARE ALMOST SAME WHICH SUGGESTS A HUGE AND BULLISH UPMOVE POSSIBLE ,"['' 'OPEN' '-' 'LOW' 'AND' 'PREVIOUS' 'CLOSE' 'ARE' 'ALMOST' 'SAME'
 'WHICH' 'SUGGESTS' 'A' 'HUGE' 'AND' 'BULLISH' 'UPMOVE' 'POSSIBLE']",True
2022-09-07 07:24:55,FLAG BREAKOUT POLE LENGTH SUGGESTS TARGET OF 200+ IN EXTREME SHORT TERM ,"['' 'FLAG' 'BREAKOUT' 'POLE' 'LENGTH' 'SUGGESTS' 'TARGET' 'OF' '200' '+'
 'IN' 'EXTREME' 'SHORT' 'TERM']",True
2022-09-07 07:23:56,EXCELLENT FUNDAMENTALS ,['' 'EXCELLENT' 'FUNDAMENTALS'],False
2022-09-07 07:23:33,MAANALU... DON'T MISS ABOVE  THIS YELLOW ARROW... HUGE HUGE HUGE MOMENTUM POSSIBLE ,"['' 'MAANALU' '...DON' ""'"" 'T' 'MISS' 'ABOVE' 'THIS' 'YELLOW'
 'ARROW...HUGE' 'HUGE' 'HUGE' 'MOMENTUM' 'POSSIBLE']",True
2022-09-07 07:12:05,"71.65 - 72 ARE THE KEY LEVELS.. FOR FLAG BREAKOUT.... CONFIRMATION

BINDAAAST BUY... ","['' '71.65' '-' '72' 'ARE' 'THE' 'KEY' 'LEVELS..FOR' 'FLAG'
 'BREAKOUT....CONFIRMATION' 'BINDAAAST' 'BUY...']",True
2022-09-07 07:11:16,"NOW ONLY HURDLE IS 71.65 - 72.. WHICH IS A CONFIRMATION OF FLAG BREAKOUT..

DON'T MISS ","['' 'NOW' 'ONLY' 'HURDLE' 'IS' '71.65' '-' '72' '..WHICH' 'IS' 'A'
 'CONFIRMATION' 'OF' 'FLAG' 'BREAKOUT..DON' ""'"" 'T' 'MISS']",True
2022-09-07 07:10:46,"LOOKING SUPERB FUNDAMENTALLY

81+ COMING INTRADAY ",['' 'LOOKING' 'SUPERB' 'FUNDAMENTALLY' '81' '+' 'COMING' 'INTRADAY'],True
2022-09-07 07:09:35,DON'T MISS TREJHARA.... ,"['' 'DON' ""'"" 'T' 'MISS' 'TREJHARA' '....']",True
2022-09-07 07:08:38,"FLAG PATTERN

INTRADAY : BUY TREJHARA ABOVE 71 SL 69 TARGET 81+ ","['' 'FLAG' 'PATTERN' 'INTRADAY' ':' 'BUY' 'TREJHARA' 'ABOVE' '71' 'SL'
 '69' 'TARGET' '81' '+']",True
2022-09-07 06:59:21,"WATCHOUT...

BLISSGVS GIVEN ABOVE 82 GOING UP.. NOW AT 84+ ","['' 'WATCHOUT...' 'BLISSGVS' 'GIVEN' 'ABOVE' '82' 'GOING' 'UP..NOW' 'AT'
 '84' '+']",True
2022-09-07 05:33:13,BLISSGVS.. HAS THE SAME FORMATION.. A MOVE ABOVE 82 CAN GIVE A HUGE UPMOVE ,"['' 'BLISSGVS' '..HAS' 'THE' 'SAME' 'FORMATION..A' 'MOVE' 'ABOVE' '82'
 'CAN' 'GIVE' 'A' 'HUGE' 'UPMOVE']",True
2022-09-07 05:33:04,JMA.. .GIVEN AT 72 GOING STRONG AT 74.90 LEVELS ,['' 'JMA' '...GIVEN' 'AT' '72' 'GOING' 'STRONG' 'AT' '74.90' 'LEVELS'],False
2022-09-07 05:28:58,WEEKLY FLAG PATTERN IN MAKING.. DON'T MISS ,"['' 'WEEKLY' 'FLAG' 'PATTERN' 'IN' 'MAKING..DON' ""'"" 'T' 'MISS']",True
2022-09-07 05:28:29,GOOD FUNDAMENTALS ,['' 'GOOD' 'FUNDAMENTALS'],True
2022-09-07 05:27:58,"JMA : CUP AND HANDLE PATTERN

RSI BREAKING OUT

SUPERB FUNDAMENTALS ","['' 'JMA' ':' 'CUP' 'AND' 'HANDLE' 'PATTERN' 'RSI' 'BREAKING' 'OUT'
 'SUPERB' 'FUNDAMENTALS']",True
2022-09-07 05:26:44,"SUPER DUPER 

DELIVERY : BUY JMA CMP 72 SL 65 TARGET 100+ ","['' 'SUPER' 'DUPER' 'DELIVERY' ':' 'BUY' 'JMA' 'CMP' '72' 'SL' '65'
 'TARGET' '100' '+']",True
2022-09-07 05:15:49,ITS ENGULFING YESTERDAY'S CANDLE ,"['' 'ITS' 'ENGULFING' 'YESTERDAY' ""'"" 'S' 'CANDLE']",True
2022-09-07 05:14:00,A MOVE ABOVE 82 WILL GIVE A SUPER DUPER MOMENTUM... DON'T MISS ,"['' 'A' 'MOVE' 'ABOVE' '82' 'WILL' 'GIVE' 'A' 'SUPER' 'DUPER'
 'MOMENTUM...DON' ""'"" 'T' 'MISS']",True
2022-09-07 05:12:39,DELIVERY BASED ALSO IT CAN BE TAKEN WITH SL OF 73 FOR TARGET 130+ ,"['' 'DELIVERY' 'BASED' 'ALSO' 'IT' 'CAN' 'BE' 'TAKEN' 'WITH' 'SL' 'OF'
 '73' 'FOR' 'TARGET' '130' '+']",False
2022-09-07 05:12:12,INVERTED H&S PATTERN.. ITS VERY POWERFUL ,['' 'INVERTED' 'H' '&' 'S' 'PATTERN..ITS' 'VERY' 'POWERFUL'],True
2022-09-07 05:11:22,ITS A SUPER TRENDLINE BREAKOUT.. DON'T MISS ,"['' 'ITS' 'A' 'SUPER' 'TRENDLINE' 'BREAKOUT..DON' ""'"" 'T' 'MISS']",True
2022-09-07 05:10:10,INTRADAY : BUY BLISSGVS ABOVE 82 SL 80 TARGET 93 ,['' 'INTRADAY' ':' 'BUY' 'BLISSGVS' 'ABOVE' '82' 'SL' '80' 'TARGET' '93'],True
2022-09-07 05:08:45,FRIENDS... EYES ON BLISSGVS.. ABOVE 82 CAN GIVE A QUICK UPMOVE ,"['' 'FRIENDS...EYES' 'ON' 'BLISSGVS' '..ABOVE' '82' 'CAN' 'GIVE' 'A'
 'QUICK' 'UPMOVE']",True
2022-09-07 03:59:31,"BTST UPDATE

RESPONIND GIVEN AT 148.50 GOING STRONG AT 155+ ","['' 'BTST' 'UPDATE' 'RESPONIND' 'GIVEN' 'AT' '148.50' 'GOING' 'STRONG'
 'AT' '155' '+']",True
2022-09-07 02:40:20, ,[''],True
2022-09-06 10:12:27,"RESPONIND... LOOKING VERY POWERFUL BREAKOUT... 

YELLOW LINE... IS THE BREAKOUT LEVEL... 

KEEP IT ON RADAR... ","['' 'RESPONIND' '...LOOKING' 'VERY' 'POWERFUL' 'BREAKOUT...YELLOW'
 'LINE...IS' 'THE' 'BREAKOUT' 'LEVEL...KEEP' 'IT' 'ON' 'RADAR...']",True
2022-09-06 09:56:29,FLAG —> POLE LENGTH SUGGESTS TARGET AS 174+ DON'T MISS ,"['' 'FLAG' '—' '>' 'POLE' 'LENGTH' 'SUGGESTS' 'TARGET' 'AS' '174' '+'
 'DON' ""'"" 'T' 'MISS']",True
2022-09-06 09:55:41,FLAG BREAKOUT TARGET IS 166 - 174 .. DON'T MISS ,"['' 'FLAG' 'BREAKOUT' 'TARGET' 'IS' '166' '-' '174' '..DON' ""'"" 'T' 'MISS']",True
2022-09-06 09:55:00,ITS ON A SUPER DUPER FLAG BREAKOUT.. DON'T MISS ,"['' 'ITS' 'ON' 'A' 'SUPER' 'DUPER' 'FLAG' 'BREAKOUT..DON' ""'"" 'T' 'MISS']",True
2022-09-06 09:53:47,DON'T MISS RESPONIND.. IT CAN GIVE A HUGE HUGE UPMOVE.... ,"['' 'DON' ""'"" 'T' 'MISS' 'RESPONIND' '..IT' 'CAN' 'GIVE' 'A' 'HUGE' 'HUGE'
 'UPMOVE....']",True
2022-09-06 09:51:34,"SUPER DUPER BTST

DON'T MISS

BUY RESPONIND CMP 148.50 ","['' 'SUPER' 'DUPER' 'BTST' 'DON' ""'"" 'T' 'MISS' 'BUY' 'RESPONIND' 'CMP'
 '148.50']",True
2022-09-06 09:31:42,INDTERRRAIN.. GIVEN ABOVE 67 GOING STRONG NOW AT 69.40+ ,"['' 'INDTERRRAIN' '..GIVEN' 'ABOVE' '67' 'GOING' 'STRONG' 'NOW' 'AT' '69'
 '.' '40' '+']",False
2022-09-06 09:26:28,BTST : TATASTEEL CMP 108.50 ,['' 'BTST' ':' 'TATASTEEL' 'CMP' '108.50'],True
2022-09-06 09:08:12,LIBERTSHOE.. GIVEN A BUY ABOVE 176 TOUCHED 179.95 ,['' 'LIBERTSHOE' '..GIVEN' 'A' 'BUY' 'ABOVE' '176' 'TOUCHED' '179.95'],True
2022-09-06 09:05:51,127 EXPECTED IN EXTREME SHORT TERM.... WIHT THIS PATTERN ,"['' '127' 'EXPECTED' 'IN' 'EXTREME' 'SHORT' 'TERM....WIHT' 'THIS'
 'PATTERN']",False
2022-09-06 09:04:39,"VOLUMES ABOVE AVERAGE

RSI BREAKING OUT NICELY

DON'T MISS ABOVE 88 ","['' 'VOLUMES' 'ABOVE' 'AVERAGE' 'RSI' 'BREAKING' 'OUT' 'NICELY' 'DON' ""'""
 'T' 'MISS' 'ABOVE' '88']",True
2022-09-06 09:03:49,"DON'T MISS ABOVE 88

FOR A SUPER DUPER BREAKOUT.... ","['' 'DON' ""'"" 'T' 'MISS' 'ABOVE' '88' 'FOR' 'A' 'SUPER' 'DUPER'
 'BREAKOUT....']",True
2022-09-06 08:45:10,AVERAGES ARE ALSO CONVERGING... HENCE.. ITS LOOKING VERY INTERESTING... ,"['' 'AVERAGES' 'ARE' 'ALSO' 'CONVERGING...HENCE..ITS' 'LOOKING' 'VERY'
 'INTERESTING...']",False
2022-09-06 08:44:13,FLAG BREAKOUTS ARE VERY POWERFUL.. KEEP IT ON RADAR.. DON'T MISS ,"['' 'FLAG' 'BREAKOUTS' 'ARE' 'VERY' 'POWERFUL..KEEP' 'IT' 'ON'
 'RADAR..DON' ""'"" 'T' 'MISS']",True
2022-09-06 08:37:05, ,[''],True
2022-09-06 08:36:50,"MAST FLAG BREAKOUT

INTRADAY

BUY GFLLIMITED ABOVE 76.50 - 77 SL 75 TARGET 85+

DON'T MISS ","['' 'MAST' 'FLAG' 'BREAKOUT' 'INTRADAY' 'BUY' 'GFLLIMITED' 'ABOVE' '76.50'
 '-' '77' 'SL' '75' 'TARGET' '85' '+' 'DON' ""'"" 'T' 'MISS']",True
2022-09-06 08:29:35,"WEEKLY CHART : LIBERTSHOE

MOMENTUM ABOVE 178 ",['' 'WEEKLY' 'CHART' ':' 'LIBERTSHOE' 'MOMENTUM' 'ABOVE' '178'],True
2022-09-06 08:28:29,INTRADAY : BUY LIBERTSHOE ABOVE 176 SL 174 TARGET 186+ ,"['' 'INTRADAY' ':' 'BUY' 'LIBERTSHOE' 'ABOVE' '176' 'SL' '174' 'TARGET'
 '186' '+']",True
2022-09-06 08:07:22,INDTERRAIN.. DIDN'T GO ABOVE 67 HENCE CALL STANDS CANCELLED ,"['' 'INDTERRAIN' '..DIDN' ""'"" 'T' 'GO' 'ABOVE' '67' 'HENCE' 'CALL'
 'STANDS' 'CANCELLED']",True
2022-09-06 07:28:53,CONFIRMATION IS ABOVE 67 HENCE... ABOVE THAT... ,['' 'CONFIRMATION' 'IS' 'ABOVE' '67' 'HENCE...ABOVE' 'THAT...'],True
2022-09-06 07:24:16,INTRADAY : BUY INDTERRAIN ABOVE 67 SL 65.50 TARGET 75 ,"['' 'INTRADAY' ':' 'BUY' 'INDTERRAIN' 'ABOVE' '67' 'SL' '65.50' 'TARGET'
 '75']",True
2022-09-06 07:23:18,SUPER FLAG... INDTERRAIN ,['' 'SUPER' 'FLAG...' 'INDTERRAIN'],True
2022-09-06 07:22:52,"FLAG FORMATION

INDTERRAIN ABOVE 67

DON'T MISS ","['' 'FLAG' 'FORMATION' 'INDTERRAIN' 'ABOVE' '67' 'DON' ""'"" 'T' 'MISS']",True
2022-09-06 07:03:03,DON'T MISS... ABOVE 96 —-> LAMBODARA...... READY FOR A FLY ,"['' 'DON' ""'"" 'T' 'MISS...ABOVE' '96' '—' '-' '>' 'LAMBODARA'
 '......READY' 'FOR' 'A' 'FLY']",True
2022-09-06 07:01:06,"FLAG PATTERN

INTRADAY : BUY LAMBODARA ABOVE 96 SL 94 TARGET 106+ ","['' 'FLAG' 'PATTERN' 'INTRADAY' ':' 'BUY' 'LAMBODARA' 'ABOVE' '96' 'SL'
 '94' 'TARGET' '106' '+']",True
2022-09-06 06:45:17,"SUPER DUPER 

DELIVERY : BUY HNDFDS CMP 464.80

SL 410 TARGET 550+

MOMENTUM ABOVE 470 ","['' 'SUPER' 'DUPER' 'DELIVERY' ':' 'BUY' 'HNDFDS' 'CMP' '464.80' 'SL'
 '410' 'TARGET' '550' '+' 'MOMENTUM' 'ABOVE' '470']",False
2022-09-06 06:31:31,WEEKLY FLAGS ARE VERY POWE4RFUL. DON'T MISS ,"['' 'WEEKLY' 'FLAGS' 'ARE' 'VERY' 'POWE4RFUL.DON' ""'"" 'T' 'MISS']",True
2022-09-06 06:30:51,CUBEX : WEEKLY.. MAKING OF FLAG.. PATTERN... HUGE UPMOVE EXPECTED ,"['' 'CUBEX' ':' 'WEEKLY..MAKING' 'OF' 'FLAG..PATTERN...HUGE' 'UPMOVE'
 'EXPECTED']",True
2022-09-06 06:29:10,INTRADAY : BUY CUBEXTUB CMP 30.50 SL 29 TARGET 34+ ,"['' 'INTRADAY' ':' 'BUY' 'CUBEXTUB' 'CMP' '30.50' 'SL' '29' 'TARGET' '34'
 '+']",True
2022-09-06 06:28:05,INTRADAY 34+ POSSIBLE IN CUBEXTUB.. DON['T MISS ,"['' 'INTRADAY' '34' '+' 'POSSIBLE' 'IN' 'CUBEXTUB' '..DON' '[' ""'"" 'T'
 'MISS']",True
2022-09-06 06:21:01,"INTRADAY UPDATE

BALPHARMA GIVEN ABOVE 97 ROCKING NOW AT 101+ ","['' 'INTRADAY' 'UPDATE' 'BALPHARMA' 'GIVEN' 'ABOVE' '97' 'ROCKING' 'NOW'
 'AT' '101' '+']",True
2022-09-06 06:11:23,"BALPHARMA... ABOVE 97 TOUCHED 99

MORE TO COME ",['' 'BALPHARMA' '...ABOVE' '97' 'TOUCHED' '99' 'MORE' 'TO' 'COME'],False
2022-09-06 06:07:40,MOMENTUM ABOVE 98 IN BALPHARMA.... ,['' 'MOMENTUM' 'ABOVE' '98' 'IN' 'BALPHARMA' '....'],True
2022-09-06 06:05:55,"INTRADAY : BUY BALPHARMA ABOVE 97 SL 95 TARGET 107

MOMENTUM ABOVE 98 ","['' 'INTRADAY' ':' 'BUY' 'BALPHARMA' 'ABOVE' '97' 'SL' '95' 'TARGET' '107'
 'MOMENTUM' 'ABOVE' '98']",True
2022-09-06 06:05:13,"EYES ON

BALPHARMA ABOVE 98 ",['' 'EYES' 'ON' 'BALPHARMA' 'ABOVE' '98'],True
2022-09-06 05:52:54,"NIRAJ IS VERY PROMISING...

FUNDAMENTALS ARE GOOD... ",['' 'NIRAJ' 'IS' 'VERY' 'PROMISING...FUNDAMENTALS' 'ARE' 'GOOD...'],True
2022-09-06 05:48:40,"DELIVERY

BUY NIRAJ CMP 30.25 SL 26 TARGET 42+ ",['' 'DELIVERY' 'BUY' 'NIRAJ' 'CMP' '30.25' 'SL' '26' 'TARGET' '42' '+'],True
2022-09-06 05:47:31,"FRIENDS...

EYES ON SCRIP : NIRAJ

ABOVE 30.50 CAN GIVE 34.50+ ","['' 'FRIENDS...EYES' 'ON' 'SCRIP' ':' 'NIRAJ' 'ABOVE' '30.50' 'CAN' 'GIVE'
 '34.' '50' '+']",False
2022-09-06 02:15:53, ,[''],True
2022-09-05 09:45:02,"SUPER DUPER BTST

BUY ALBERTDAVD CMP 604.90 

CAN TARGET 677+ FOR BTST ","['' 'SUPER' 'DUPER' 'BTST' 'BUY' 'ALBERTDAVD' 'CMP' '604.90' 'CAN'
 'TARGET' '677' '+' 'FOR' 'BTST']",True
2022-09-05 09:27:33,"FLAG BREAKOUT BTST

BASML CMP 62.50

BINDAAAST BUY ",['' 'FLAG' 'BREAKOUT' 'BTST' 'BASML' 'CMP' '62.50' 'BINDAAAST' 'BUY'],True
2022-09-05 09:23:58,"KEEP ON RADAR BASML

AND ITS LEVEL OF 63

FOR AWESOME UPMOVE ","['' 'KEEP' 'ON' 'RADAR' 'BASML' 'AND' 'ITS' 'LEVEL' 'OF' '63' 'FOR'
 'AWESOME' 'UPMOVE']",True
2022-09-05 09:21:45, ,[''],True
2022-09-05 09:20:59,BASML —> VOLUMES ARE ABOVE AVERAGE AND RSI IS BREAKING OUT.. DON'T MISS ABOVE 63 ,"['' 'BASML' '—' '>' 'VOLUMES' 'ARE' 'ABOVE' 'AVERAGE' 'AND' 'RSI' 'IS'
 'BREAKING' 'OUT..DON' ""'"" 'T' 'MISS' 'ABOVE' '63']",True
2022-09-05 09:19:50,basml.. trying to breakout.. don't miss above 63 ,"['' 'basml' '..trying' 'to' 'breakout..don' ""'"" 't' 'miss' 'above' '63']",True
2022-09-05 09:14:43,BASML —> LOOKING VERY PROMISING.. DON'T MISS ,"['' 'BASML' '—' '>' 'LOOKING' 'VERY' 'PROMISING..DON' ""'"" 'T' 'MISS']",True
2022-09-05 09:13:33,"SUPER DUPER DELIVERY BUY

DELIVERY : BUY BASML ABOVE 63 SL 55 TARGET 80 - 85+ ","['' 'SUPER' 'DUPER' 'DELIVERY' 'BUY' 'DELIVERY' ':' 'BUY' 'BASML' 'ABOVE'
 '63' 'SL' '55' 'TARGET' '80' '-' '85' '+']",True
2022-09-05 09:04:46,"FRIENDS...

EYES ON TARMAT CMP 62.70 ",['' 'FRIENDS...EYES' 'ON' 'TARMAT' 'CMP' '62.70'],True
2022-09-05 08:46:54,"OPEN, LOW AND PREVIOUS CLOSE ARE ALMOST SAME..

WHICH IS A VERY BULLISH SIGN ","['' 'OPEN' ',' 'LOW' 'AND' 'PREVIOUS' 'CLOSE' 'ARE' 'ALMOST' 'SAME..WHICH'
 'IS' 'A' 'VERY' 'BULLISH' 'SIGN']",True
2022-09-05 08:46:45,78.50 IS THE KEY MOMENTUM LEVEL.. ABOVE WHICH.. CAN GIVE A QUICK UPMOVE ,"['' '78.50' 'IS' 'THE' 'KEY' 'MOMENTUM' 'LEVEL..ABOVE' 'WHICH..CAN' 'GIVE'
 'A' 'QUICK' 'UPMOVE']",True
2022-09-05 08:45:32,INTRADAY : BUY NACLIND ABOVE 78.50 SL 77 TARGET 89+ ,"['' 'INTRADAY' ':' 'BUY' 'NACLIND' 'ABOVE' '78.50' 'SL' '77' 'TARGET' '89'
 '+']",True
2022-09-05 08:44:53,"FRIENDS... EYES ON NALIND

ABOVE 78 - 78.50 CAN GIVE A NICE UPMOVE ","['' 'FRIENDS...EYES' 'ON' 'NALIND' 'ABOVE' '78' '-' '78.50' 'CAN' 'GIVE'
 'A' 'NICE' 'UPMOVE']",True
2022-09-05 08:19:07,"THERE IS A NICE CONVERGENCE IN AVERAGES.. IN PODDARMENT..

DON'T MISS ","['' 'THERE' 'IS' 'A' 'NICE' 'CONVERGENCE' 'IN' 'AVERAGES' '..IN'
 'PODDARMENT' '..DON' ""'"" 'T' 'MISS']",True
2022-09-05 08:16:35,"DELIVERY

BUY PODDARMENT CMP 270 SL 255 TARGET 305 - 318+

MOMENTUM ABOVE 271 - 272 ","['' 'DELIVERY' 'BUY' 'PODDARMENT' 'CMP' '270' 'SL' '255' 'TARGET' '305'
 '-' '318' '+' 'MOMENTUM' 'ABOVE' '271' '-' '272']",False
